,project_id,fastq_id,library_id,fastq_path,genus,species,strain,assembly_name_of_new_projects,joshua_assembly_name,aligned_read_depth,stdev,TreeName,Fake ID
0,100_0000698,8958.5.117167.CACGAT,AGHXX,/global/dna/dm_archive/sdm/illumina/00/89/58/8958.5.117167.CACGAT.fastq.gz,Brachypodium,distachyon,Spa-Sou-J6.2,8958.5.117167.CACGAT.anqdp.fa,Bdist_037_v0.fa,45.83,134.31,Bdist672,672
1,100_0000699,8957.6.117210.GGTAGC,AGHXY,/global/dna/dm_archive/sdm/illumina/00/89/57/8957.6.117210.GGTAGC.fastq.gz,Brachypodium,distachyon,Spa-Sou-J4.3.1,8957.6.117210.GGTAGC.anqdp.fa,Bdist_058_v0.fa,41.98,163.72,Bdist687,687
2,100_0000697,8958.6.117172.CCAACA,AGHXW,/global/dna/dm_archive/sdm/illumina/00/89/58/8958.6.117172.CCAACA.fastq.gz,Brachypodium,distachyon,Spa-Sou-Sg2.1.1,8958.6.117172.CCAACA.anqdp.fa,Bdist_060_v0.fa,48.22,176.6,Bdist655,655
3,100_0000694,10377.2.159149.GCTCCA,AYWUB,/global/dna/dm_archive/sdm/illumina/01/03/77/10377.2.159149.GCTCCA.fastq.gz,Brachypodium,distachyon,Vasc1,AYWUB.10377.2.159149.GCTCCA.anqdpht.fastq.config.rundir.min_depth_cutoff_4.mer_sizes_65_91_121.num_scaff_loop_5.fa,Bdist_003_v0.fa,49.13,115.3,Bdist668,668
4,100_0000007,Bd28.genome.DS.allmaps,,/global/projectb/scratch/sgordon/polyploid_analysis/accession_assemblies/Bd28.pacbio_assembly/single_run/Bd28.genome.DS.allmaps.chrom.read1.anqdpht.fq.gz,Brachypodium,hybridum,Bd28,,,,,a,a
5,300658_1000601,6087.7.36753,CUZA,/global/dna/dm_archive/sdm/illumina/00/60/87/6087.7.36753.fastq.gz,Brachypodium,hybridum,Pob1,,,,,a,a
6,300152_401868,1007.6.1138,GWWB,/global/dna/dm_archive/sdm/illumina/00/10/07/1007.6.1138.fastq.gz,Brachypodium,distachyon,BdTR12c,,,50.46,113.33,Bdist352,352
7,100_0000444,7647.1.78849.GGTAGC,UCXX,/global/dna/dm_archive/sdm/illumina/00/76/47/7647.1.78849.GGTAGC.fastq.gz,Brachypodium,hybridum,ABR113,,,,,a,a
8,1293_1021402,7301.5.67025.TGACCA,PPOG,/global/dna/dm_archive/sdm/illumina/00/73/01/7301.5.67025.TGACCA.fastq.gz,Brachypodium,distachyon,RON2,,,119.84,224.89,Bdist360,360
9,100_0000667,10348.6.157975.CACGAT,AYSCZ,/global/dna/dm_archive/sdm/illumina/01/03/48/10348.6.157975.CACGAT.fastq.gz,Brachypodium,distachyon,Ukr-Nvk1,AYSCZ.10348.6.157975.CACGAT.anqdpht.fastq.config.rundir.min_depth_cutoff_4.mer_sizes_65_91_121.num_scaff_loop_5.fa,Bdist_009_v0.fa,61.06,188.48,Bdist700,700
10,100_0000666,9505.1.135632.CGATGT,AOZWH,/global/dna/dm_archive/sdm/illumina/00/95/05/9505.1.135632.CGATGT.fastq.gz,Brachypodium,hybridum,Bhyb36,,,,,a,a
11,100_0000669,10348.5.157970.GGTAGC,AYSCA,/global/dna/dm_archive/sdm/illumina/01/03/48/10348.5.157970.GGTAGC.fastq.gz,Brachypodium,distachyon,Spa-SouGR3.6-5,AYSCA.10348.5.157970.GGTAGC.anqdpht.fastq.config.rundir.min_depth_cutoff_4.mer_sizes_65_91_121.num_scaff_loop_5.fa,Bdist_019_v0.fa,46.12,101.95,Bdist675,675
12,100_0000668,10343.8.157724.GCCAAT,AYSCG,/global/dna/dm_archive/sdm/illumina/01/03/43/10343.8.157724.GCCAAT.fastq.gz,Brachypodium,distachyon,Tek-9,AYSCG.10343.8.157724.GCCAAT.anqdpht.fastq.config.rundir.min_depth_cutoff_4.mer_sizes_65_91_121.num_scaff_loop_5.fa,Bdist_041_v0.fa,43.44,177.28,Bdist680,680
13,100_0000709,8958.5.117167.CACCGG,AGHYS,/global/dna/dm_archive/sdm/illumina/00/89/58/8958.5.117167.CACCGG.fastq.gz,Brachypodium,distachyon,Spa-Nor-S12B-4,8958.5.117167.CACCGG.anqdp.fa,Bdist_059_v0.fa,41.16,131.79,a,a
14,100_0000738,8957.1.117187.TGACCA,AGHXU,/global/dna/dm_archive/sdm/illumina/00/89/57/8957.1.117187.TGACCA.fastq.gz,Brachypodium,distachyon,Adi-15,8957.1.117187.TGACCA.anqdp.fa,Bdist_039_v0.fa,58.86,170.56,Bdist703,703
15,300658_404158,1710.1.1556,HZSZ,/global/dna/dm_archive/sdm/illumina/00/17/10/1710.1.1556.fastq.gz,Brachypodium,distachyon,BdTR2G,,,51.92,191.28,a,a
16,300658_404159,1634.4.1486,HYYO,/global/dna/dm_archive/sdm/illumina/00/16/34/1634.4.1486.fastq.gz,Brachypodium,distachyon,BdTR3C,,,94.19,239.43,Bdist354,354
17,277_1000594,6087.5.36751,CUYY,/global/dna/dm_archive/sdm/illumina/00/60/87/6087.5.36751.fastq.gz,Brachypodium,distachyon,Per1,,,85.59,211.13,Bdist326,326
18,277_1000597,6087.6.36752,CUYZ,/global/dna/dm_archive/sdm/illumina/00/60/87/6087.6.36752.fastq.gz,Brachypodium,distachyon,Luc1,,,102.15,225.09,Bdist347,347
19,300658_404153,1710.6.1556,HZSX,/global/dna/dm_archive/sdm/illumina/00/17/10/1710.6.1556.fastq.gz,Brachypodium,distachyon,BdTR13C,,,41.69,108.38,Bdist365,365
20,300658_404154,1702.3.1553,HZHA,/global/dna/dm_archive/sdm/illumina/00/17/02/1702.3.1553.fastq.gz,Brachypodium,distachyon,Adi-10,,,58.85,196.87,a,a
21,300658_404155,1710.5.1556,HZSW,/global/dna/dm_archive/sdm/illumina/00/17/10/1710.5.1556.fastq.gz,Brachypodium,distachyon,BdTR5I,,,41.07,177.73,a,a
22,300658_404156,1730.2.1598,HZSY,/global/dna/dm_archive/sdm/illumina/00/17/30/1730.2.1598.fastq.gz,Brachypodium,distachyon,Gaz-8,,,59.61,180.2,a,a
23,300658_404157,1710.7.1556,HZTA,/global/dna/dm_archive/sdm/illumina/00/17/10/1710.7.1556.fastq.gz,Brachypodium,distachyon,BdTR9K,,,32.92,127.28,a,a
24,100_0000670,10348.4.157965.GTGGCC,AYSBZ,/global/dna/dm_archive/sdm/illumina/01/03/48/10348.4.157965.GTGGCC.fastq.gz,Brachypodium,distachyon,Spa-Sou-Z3.6,AYSBZ.10348.4.157965.GTGGCC.anqdpht.fastq.config.rundir.min_depth_cutoff_4.mer_sizes_65_91_121.num_scaff_loop_5.fa,Bdist_027_v0.fa,44.43,144.37,Bdist707,707
25,100_0000671,10343.7.157719.CGATGT,AYSBY,/global/dna/dm_archive/sdm/illumina/01/03/43/10343.7.157719.CGATGT.fastq.gz,Brachypodium,distachyon,Spa-Sou-CU5.5,AYSBY.10343.7.157719.CGATGT.anqdpht.fastq.config.rundir.min_depth_cutoff_4.mer_sizes_65_91_121.num_scaff_loop_5.fa,Bdist_022_v0.fa,42.8,114.47,Bdist667,667
26,100_0000672,10348.3.157960.GTGAAA,AYSBX,/global/dna/dm_archive/sdm/illumina/01/03/48/10348.3.157960.GTGAAA.fastq.gz,Brachypodium,distachyon,Spa-Sou-AB3.3,AYSBX.10348.3.157960.GTGAAA.anqdpht.fastq.config.rundir.min_depth_cutoff_4.mer_sizes_65_91_121.num_scaff_loop_5.fa,Bdist_051_v0.fa,41.06,107.28,Bdist697,697
27,100_0000673,10348.2.157955.GGCTAC,AYSBW,/global/dna/dm_archive/sdm/illumina/01/03/48/10348.2.157955.GGCTAC.fastq.gz,Brachypodium,distachyon,Spa-Nor-S6E,AYSBW.10348.2.157955.GGCTAC.anqdpht.fastq.config.rundir.min_depth_cutoff_4.mer_sizes_65_91_121.num_scaff_loop_5.fa,Bdist_034_v0.fa,51.55,200.82,Bdist682,682
28,100_0000674,10348.4.157965.GAGTGG,AYSBU,/global/dna/dm_archive/sdm/illumina/01/03/48/10348.4.157965.GAGTGG.fastq.gz,Brachypodium,distachyon,Spa-Nor-S19A,AYSBU.10348.4.157965.GAGTGG.anqdpht.fastq.config.rundir.min_depth_cutoff_4.mer_sizes_65_91_121.num_scaff_loop_5.fa,Bdist_004_v0.fa,42.52,194.08,Bdist702,702
